Sheet,نام سایت,آدرس,دسته‌بندی,وضعیت,توضیحات,راهنمای استفاده,Unnamed: 1
Links,بانک تجارت,https://www.tejaratbank.ir,بانک‌ها,فعال,وب‌سایت بانک تجارت,,
Links,بانک ملی,https://www.bmi.ir,بانک‌ها,فعال,وب‌سایت بانک ملی,,
Links,سامانه مالیاتی,https://my.tax.gov.ir,مالیاتی,فعال,سامانه خدمات مالیاتی,,
Links,گمرک,https://epl.irica.gov.ir,دولتی,فعال,سامانه EPL,,
Links, هویت یکتای ملی ایرانیان,https://sahim.sabteahval.ir ,متفرقه,فعال,سامانه هویت یکتای ملی ایرانیان(سهیم),,
Links,تامین اجتماعی,https://tamin.ir      ,متفرقه,فعال,سازمان تامین اجتماعی,,
Links,احراز هویت ثنا,https://iehraz.adliran.ir ,متفرقه,فعال,سامانه احراز هویت ثنا,,
Links,بیمه سلامت,https://ihio.gov.ir ,متفرقه,فعال,سامانه بیمه سلامت,,
Links,خدمات کارت هوشمند سوخت,https://fcs.niopdc.ir ,متفرقه,فعال,سامانه خدمات کارت هوشمند سوخت,,
Links,وزارت تعاون کار و رفاه اجتماعی,https://mcls.gov.ir ,متفرقه,فعال,وزارت تعاون کار و رفاه اجتماعی,,
Links,مخابرات من,https://my.tci.ir,متفرقه,فعال,مخابرات من,,
Links,سامانه ملی املاک و اسکان کشور,https://amlak.mrud.ir,متفرقه,فعال,سامانه ملی املاک و اسکان کشور,,
Links,پلیس سخا,https://sakha.epolice.ir,متفرقه,فعال,پلیس سخا,,
Links,کالابرگ ,https://kala.sfara.ir,متفرقه,فعال,کالابرگ ,,
Links,بانک ملی ,https://melli-bank.com,بانک‌ها,فعال,بانک ملی ,,
Links,بانک تجارت ,https://tejaratbank.ir  ,بانک‌ها,فعال,بانک تجارت ,,
Links,بانک کشاورزی ,https://bki.ir ,بانک‌ها,فعال,بانک کشاورزی ,,
Links,بانک سامان ,https://sb24.ir,بانک‌ها,فعال,بانک سامان ,,
Links,بانک مسکن ,https://bank-maskan.ir,بانک‌ها,فعال,بانک مسکن ,,
Links,بانک پاسارگاد ,https://bpi.ir,بانک‌ها,فعال,بانک پاسارگاد ,,
Links,بانک پارسیان ,https://parsian-bank.ir ,بانک‌ها,فعال,بانک پارسیان ,,
Links,بانک ملت ,https://bankmellat.ir,بانک‌ها,فعال,بانک ملت ,,
Links,بانک شهر ,https://shahr-bank.ir,بانک‌ها,فعال,بانک شهر ,,
Links, قبضینو ,https://ghabzino.com,متفرقه,فعال, قبضینو ,,
Links,بلو بانک ,https://blubank.sb24.ir,بانک‌ها,فعال,بلو بانک ,,
Links,ایران خودرو ,https://customer.ikco.ir,متفرقه,فعال,ایران خودرو ,,
Links,سایپا ,https://saipa.iranecar.com,متفرقه,فعال,سایپا ,,
Links,سازمان بورس ,https://seo.ir,متفرقه,فعال,سازمان بورس ,,
Links,سازمان گاز,https://nigc.ir/,متفرقه,فعال,سازمان گاز,,
Links,پنجره ملی خدمات دولت هوشمند,https://my.gov.ir,متفرقه,فعال,پنجره ملی خدمات دولت هوشمند,,
Links,درگاه خدمات قضایی,https://adliran.ir ,متفرقه,فعال,درگاه خدمات قضایی,,
Links,سامانه ثنا,https://sana.adliran.ir,متفرقه,فعال,سامانه ثنا,,
Links,سازمان امور مالیاتی,https://intamedia.ir,متفرقه,فعال,سازمان امور مالیاتی,,
Links,سامانه مالیات,https://tax.gov.ir,متفرقه,فعال,سامانه مالیات,,
Links,خدمات تأمین اجتماعی,https://eservices.tamin.ir,متفرقه,فعال,خدمات تأمین اجتماعی,,
Links,ثبت احوال,https://sabteahval.ir,متفرقه,فعال,ثبت احوال,,
Links,ثبت اسناد و املاک,https://ssaa.ir,متفرقه,فعال,ثبت اسناد و املاک,,
Links,پلیس +۱۰ / خدمات انتظامی,https://epolice.ir,متفرقه,فعال,پلیس +۱۰ / خدمات انتظامی,,
Links,راهور,https://rahvar120.ir,متفرقه,فعال,راهور,,
Links,پست جمهوری اسلامی,https://post.ir,متفرقه,فعال,پست جمهوری اسلامی,,
Links,رهگیری مرسولات پستی,https://tracking.post.ir,متفرقه,فعال,رهگیری مرسولات پستی,,
Links,مرکز اطلاعات راه‌ها,https://141.ir,متفرقه,فعال,مرکز اطلاعات راه‌ها,,
Links,سازمان هواشناسی,https://irimo.ir,متفرقه,فعال,سازمان هواشناسی,,
Links,سازمان سنجش,https://sanjesh.org,متفرقه,فعال,سازمان سنجش,,
Links,وزارت آموزش و پرورش,https://medu.gov.ir,متفرقه,فعال,وزارت آموزش و پرورش,,
Links,مای‌مدیو,https://my.medu.ir,متفرقه,فعال,مای‌مدیو,,
Links,وزارت علوم,https://msrt.ir,متفرقه,فعال,وزارت علوم,,
Links,وزارت بهداشت,https://behdasht.gov.ir,متفرقه,فعال,وزارت بهداشت,,
Links,"وزارت صنعت، معدن و تجارت",https://mimt.gov.ir,متفرقه,فعال,"وزارت صنعت، معدن و تجارت",,
Links,وزارت اقتصاد,https://mefa.ir,متفرقه,فعال,وزارت اقتصاد,,
Links,"وزارت تعاون، کار و رفاه",https://mcls.gov.ir,متفرقه,فعال,"وزارت تعاون، کار و رفاه",,
Links,وزارت راه و شهرسازی,https://mrud.ir,متفرقه,فعال,وزارت راه و شهرسازی,,
Links,وزارت کشور,https://moi.ir,متفرقه,فعال,وزارت کشور,,
Links,وزارت امور خارجه,https://mfa.gov.ir,متفرقه,فعال,وزارت امور خارجه,,
Links,وزارت نیرو,https://moe.gov.ir,متفرقه,فعال,وزارت نیرو,,
Links,وزارت نفت,https://shana.ir,متفرقه,فعال,وزارت نفت,,
Links,سازمان برنامه و بودجه,https://mporg.ir,متفرقه,فعال,سازمان برنامه و بودجه,,
Links,روزنامه رسمی,https://rrk.ir,متفرقه,فعال,روزنامه رسمی,,
Links,سامانه ستاد ایران,https://setadiran.ir,متفرقه,فعال,سامانه ستاد ایران,,
Links,درگاه ملی مجوزها,https://mojavez.ir/,متفرقه,فعال,درگاه ملی مجوزها,,
Links,پژوهش یار,https://ris.iau.ir  ,متفرقه,فعال,پژوهش یار,,
Links,درگاه خدمات الکترونیک قضایی ,https://adliran.ir/,متفرقه,فعال,درگاه خدمات الکترونیک قضایی ,,
Links,دیوان عدالت اداری,https://divanedalat.eadl.ir/,متفرقه,فعال,دیوان عدالت اداری,,
Links,کاتب,https://www.kateb.ir/,متفرقه,فعال,کاتب,,
Links,ویکی حقوق,https://wikihoghoogh.net/wiki/,متفرقه,فعال,ویکی حقوق,,
Links,اداره کل حقوقی قوه قضائیه,https://edarehoquqy.eadl.ir/,متفرقه,فعال,اداره کل حقوقی قوه قضائیه,,
Links,سازمان ثبت اسناد و املاک کشور,https://ssaa.ir/,متفرقه,فعال,سازمان ثبت اسناد و املاک کشور,,
Links,درگاه ملی قوه قضائیه ,https://eadl.ir/,متفرقه,فعال,درگاه ملی قوه قضائیه ,,
Links,سامانه احراز هویت ثنا ,https://my.adliran.ir/,متفرقه,فعال,سامانه احراز هویت ثنا ,,
Links,آرای وحدت رویه دیوان عالی کشور ,https://eadl.ir/vahdatravieh,متفرقه,فعال,آرای وحدت رویه دیوان عالی کشور ,,
Links,سامانه ملی آرا,http://ara.jri.ac.ir/,متفرقه,فعال,سامانه ملی آرا,,
Links,دیوان عالی کشور,https://divanealee.eadl.ir/,متفرقه,فعال,دیوان عالی کشور,,
Links,مرکز پژوهش های مجلس شورای اسلامی,https://rc.majlis.ir/fa,متفرقه,فعال,مرکز پژوهش های مجلس شورای اسلامی,,
Links,مجلس و قانون گذاری,https://mlaw.mrc.ir/,متفرقه,فعال,مجلس و قانون گذاری,,
Links,خودنویس,https://khodnevis.mrud.ir/,متفرقه,فعال,خودنویس,,
Links,سازمان تعزیرات حکومتی,https://tazirat135.ir/,متفرقه,فعال,سازمان تعزیرات حکومتی,,
Links,بانک کار آفرین,https://www.karafarinbank.ir/,بانک‌ها,فعال,بانک کار آفرین,,
Links,بانک سپه,https://banksepah.ir/,بانک‌ها,فعال,بانک سپه,,
Links,بانک رفاه کارگران,https://www.refah-bank.ir/,بانک‌ها,فعال,بانک رفاه کارگران,,
Links,پست بانک ایران,https://www.postbank.ir/,بانک‌ها,فعال,پست بانک ایران,,
Links,بانک سینا,https://sinabank.ir/,بانک‌ها,فعال,بانک سینا,,
Links,بانک قرض الحسنه رسالت,https://www.rqbank.ir/,بانک‌ها,فعال,بانک قرض الحسنه رسالت,,
Links,بانک قرض الحسنه مهر,https://www.qmb.ir/,بانک‌ها,فعال,بانک قرض الحسنه مهر,,
Links,بانک صادرات,https://www.bsi.ir/Pages/Home.aspx,بانک‌ها,فعال,بانک صادرات,,
Links,سامانه ارزیابی توان مالی مرآت,https://imerat.ir/,بانک‌ها,فعال,سامانه ارزیابی توان مالی مرآت,,
Links,پرداخت الکترونیک سداد,https://sadadpsp.ir/,بانک‌ها,فعال,پرداخت الکترونیک سداد,,
Links,اعتباریتو,https://etebarito.ics24.ir/,بانک‌ها,فعال,اعتباریتو,,
Links,دیوار,https://divar.ir/s/tehran,متفرقه,فعال,دیوار,,
Links,بیمه آینده ساز,https://www.ayandehsazfund.com/,بیمه,فعال,بیمه آینده ساز,,
Links,بیمه آسیا ,https://www.bimehasia.com/,بیمه,فعال,بیمه آسیا ,,
Links,فرادرس,https://faradars.org/,متفرقه,فعال,فرادرس,,
Links,مکتب خونه ,https://maktabkhooneh.org/,متفرقه,فعال,مکتب خونه ,,
Links,گپ جی پی تی,https://gapgpt.app/chat,متفرقه,فعال,گپ جی پی تی,,
دسته‌بندی‌ها,,,بانک‌ها,,,,
دسته‌بندی‌ها,,,دولتی,,,,
دسته‌بندی‌ها,,,بیمه,,,,
دسته‌بندی‌ها,,,مالیاتی,,,,
دسته‌بندی‌ها,,,سامانه‌های سازمانی,,,,
دسته‌بندی‌ها,,,خدمات عمومی,,,,
دسته‌بندی‌ها,,,متفرقه,,,,
دسته‌بندی‌ها,,,بیمه,,,,
راهنما,,,,,,1,در شیت Links لینک‌های مجاز را وارد یا ویرایش کنید.
راهنما,,,,,,2,در ستون وضعیت فقط فعال یا غیرفعال انتخاب کنید.
راهنما,,,,,,3,صفحه HTML از فایل CSV استفاده می‌کند.
راهنما,,,,,,4,"برای به‌روزرسانی صفحه، فایل Links.csv را از همین Excel خروجی بگیرید."
راهنما,,,,,,5,در Excel از Save As و فرمت CSV UTF-8 استفاده کنید و نام فایل را Links.csv بگذارید.
